id repairDate clockPositionStart clockPositionEnd lengthInches widthInches location_id repairType_id 
1 6/8/1997 12:00:00 AM   104  4383 9 
2 4/21/2005 12:00:00 AM   120 24 4384 14 
3 9/8/2000 12:00:00 AM   60 6 4385 2 
4 3/11/2004 12:00:00 AM   72 24 4385 9 
8 4/21/1981 12:00:00 AM   10 10 4386 5 
9 4/21/1982 12:00:00 AM 24 24 36  4387 8 
10 5/15/1983 12:00:00 AM   24 24 4388 8 
11 6/17/1983 12:00:00 AM 4 5 1  4389 16 
5 5/15/1980 12:00:00 AM 2 5 24 24 4390 10 
6 8/22/1978 12:00:00 AM   12 24 4391 15 
7 8/26/1981 12:00:00 AM   24 24 4392 14 
12 7/4/1984 12:00:00 AM   36 24 4393 5 
13 4/26/1986 12:00:00 AM   36 24 4394 17 
14 4/18/1987 12:00:00 AM 5 7 6 8 4395 6 
15 2/20/1988 12:00:00 AM   36 24 4396 8 
16 9/27/1988 12:00:00 AM 10 2 6 6 4397 10 
17 3/24/1989 12:00:00 AM   36 24 4398 5 
18 11/9/1989 12:00:00 AM 10 2 5 5 4399 6 
19 12/17/1989 12:00:00 AM   24 24 4400 8 
20 10/3/1990 12:00:00 AM 9 12 5 5 4401 6 
21 11/4/1990 12:00:00 AM 11 2 6 6 4402 2 
